时间,转速（rpm）,电流（A）,扭矩（F.m）,程序状态,轴状态,机床状态,STATUS,G-Code,Program,Tool No.
2017-03-07 8:00:00,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:01,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:02,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:03,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:04,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:05,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:06,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:07,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:08,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:09,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:10,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:11,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:12,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:13,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:14,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:15,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:16,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:17,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:18,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:19,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:20,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:21,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:22,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:23,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:24,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:25,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:26,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:27,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:28,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:29,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
2017-03-07 08:00:30,0.00,0.000,0.000,5,1,0,1,C1.T.BF1,1.1,101
